source_kind	component_section_id	component_name	ie_name	component_kind	usage_or_type	path_signature	tag_text	tag_value	condition_program_index	condition_text
component_usage	sect_C.11.35	Variable Modality LUT	Presentation State	module	C				47	a Modality LUT is to be applied to referenced image(s)
component_usage	sect_C.11.8	Softcopy VOI LUT	Presentation State	module	C				48	a VOI LUT is to be applied to referenced image(s)
component_usage	sect_C.11.6	Softcopy Presentation LUT	Presentation State	module	C				56	the Palette Color Lookup Table Module is not present
component_usage	sect_C.11.15	ICC Profile	Presentation State	module	C				57	the Palette Color Lookup Table Module is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				60	Waveform Originality (003A,0004) Value is ORIGINAL
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.10.10	Waveform Annotation	Waveform	module	C				58	annotation is present
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				61	system time is synchronized to an external reference
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				21	time synchronization was applied
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				21	time synchronization was applied
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				61	system time is synchronized to an external reference
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				61	system time is synchronized to an external reference
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				61	system time is synchronized to an external reference
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				61	system time is synchronized to an external reference
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				21	time synchronization was applied
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	Image	module	C				62	contrast media were applied
component_usage	sect_C.7.6.18.1	Cardiac Synchronization	Image	module	C				63	cardiac synchronization was applied
component_usage	sect_C.7.6.18.2	Respiratory Synchronization	Image	module	C				64	respiratory synchronization was applied
component_usage	sect_C.7.6.18.3	Bulk Motion Synchronization	Image	module	C				65	bulk motion synchronization was applied
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.5	Referenced Image		functional_group	C				68	the image or Frame has been planned on another image or Frame
component_usage	sect_C.7.6.16.2.6	Derivation Image		functional_group	C				37	the image or Frame has been derived from another SOP Instance
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				21	time synchronization was applied
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	MR Spectroscopy	module	C				62	contrast media were applied
component_usage	sect_C.7.6.18.1	Cardiac Synchronization	MR Spectroscopy	module	C				63	cardiac synchronization was applied
component_usage	sect_C.7.6.18.2	Respiratory Synchronization	MR Spectroscopy	module	C				64	respiratory synchronization was applied
component_usage	sect_C.7.6.18.3	Bulk Motion Synchronization	MR Spectroscopy	module	C				65	bulk motion synchronization was applied
component_usage	sect_C.12.3	Frame Extraction	MR Spectroscopy	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.5	Referenced Image		functional_group	C				68	the image or Frame has been planned on another image or Frame
component_usage	sect_C.7.6.16.2.6	Derivation Image		functional_group	C				37	the image or Frame has been derived from another SOP Instance
