uid_value	sop_class_name	sop_class_keyword	iod_xml_id	iod_title	part04_section_id	retired
1.2.840.10008.5.1.4.1.1.20	Nuclear Medicine Image Storage	NuclearMedicineImageStorage	sect_A.5	Nuclear Medicine Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.30	Parametric Map Storage	ParametricMapStorage	sect_A.75	Parametric Map IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.66	Raw Data Storage	RawDataStorage	sect_A.37	Raw Data IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.66.1	Spatial Registration Storage	SpatialRegistrationStorage	sect_A.39.1	Spatial Registration IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.66.2	Spatial Fiducials Storage	SpatialFiducialsStorage	sect_A.40	Spatial Fiducials IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.66.3	Deformable Spatial Registration Storage	DeformableSpatialRegistrationStorage	sect_A.39.2	Deformable Spatial Registration IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.66.4	Segmentation Storage	SegmentationStorage	sect_A.51	Segmentation IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.66.5	Surface Segmentation Storage	SurfaceSegmentationStorage	sect_A.57	Surface Segmentation IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.66.6	Tractography Results Storage	TractographyResultsStorage	sect_A.78	Tractography Results IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.66.7	Label Map Segmentation Storage	LabelMapSegmentationStorage	sect_A.51	Segmentation IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.66.8	Height Map Segmentation Storage	HeightMapSegmentationStorage	sect_A.91	Height Map Segmentation IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.67	Real World Value Mapping Storage	RealWorldValueMappingStorage	sect_A.46	Real World Value Mapping IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.68.1	Surface Scan Mesh Storage	SurfaceScanMeshStorage	sect_A.68	Surface Scan Mesh IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.68.2	Surface Scan Point Cloud Storage	SurfaceScanPointCloudStorage	sect_A.69	Surface Scan Point Cloud IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.1	VL Endoscopic Image Storage	VLEndoscopicImageStorage	sect_A.32.1	VL Endoscopic Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.1.1	Video Endoscopic Image Storage	VideoEndoscopicImageStorage	sect_A.32.5	Video Endoscopic Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.2	VL Microscopic Image Storage	VLMicroscopicImageStorage	sect_A.32.2	VL Microscopic Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.2.1	Video Microscopic Image Storage	VideoMicroscopicImageStorage	sect_A.32.6	Video Microscopic Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.3	VL Slide-Coordinates Microscopic Image Storage	VLSlideCoordinatesMicroscopicImageStorage	sect_A.32.3	VL Slide-Coordinates Microscopic Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.4	VL Photographic Image Storage	VLPhotographicImageStorage	sect_A.32.4	VL Photographic Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.4.1	Video Photographic Image Storage	VideoPhotographicImageStorage	sect_A.32.7	Video Photographic Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.5.1	Ophthalmic Photography 8 Bit Image Storage	OphthalmicPhotography8BitImageStorage	sect_A.41	Ophthalmic Photography 8 Bit Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.5.2	Ophthalmic Photography 16 Bit Image Storage	OphthalmicPhotography16BitImageStorage	sect_A.42	Ophthalmic Photography 16 Bit Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.5.3	Stereometric Relationship Storage	StereometricRelationshipStorage	sect_A.43	Stereometric Relationship IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.5.4	Ophthalmic Tomography Image Storage	OphthalmicTomographyImageStorage	sect_A.52	Ophthalmic Tomography Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.5.5	Wide Field Ophthalmic Photography Stereographic Projection Image Storage	WideFieldOphthalmicPhotographyStereographicProjectionImageStorage	sect_A.76	Wide Field Ophthalmic Photography Stereographic Projection Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.5.6	Wide Field Ophthalmic Photography 3D Coordinates Image Storage	WideFieldOphthalmicPhotography3DCoordinatesImageStorage	sect_A.77	Wide Field Ophthalmic Photography 3D Coordinates Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.5.7	Ophthalmic Optical Coherence Tomography En Face Image Storage	OphthalmicOpticalCoherenceTomographyEnFaceImageStorage	sect_A.83	Ophthalmic Optical Coherence Tomography En Face Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.5.8	Ophthalmic Optical Coherence Tomography B-scan Volume Analysis Storage	OphthalmicOpticalCoherenceTomographyBscanVolumeAnalysisStorage	sect_A.84	Ophthalmic Optical Coherence Tomography B-scan Volume Analysis IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.6	VL Whole Slide Microscopy Image Storage	VLWholeSlideMicroscopyImageStorage	sect_A.32.8	VL Whole Slide Microscopy Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.7	Dermoscopic Photography Image Storage	DermoscopicPhotographyImageStorage	sect_A.32.11	Dermoscopic Photography Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.8	Confocal Microscopy Image Storage	ConfocalMicroscopyImageStorage	sect_A.90.1	Confocal Microscopy Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.77.1.9	Confocal Microscopy Tiled Pyramidal Image Storage	ConfocalMicroscopyTiledPyramidalImageStorage	sect_A.90.2	Confocal Microscopy Tiled Pyramidal Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.78.1	Lensometry Measurements Storage	LensometryMeasurementsStorage	sect_A.60.1	Lensometry Measurements IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.78.2	Autorefraction Measurements Storage	AutorefractionMeasurementsStorage	sect_A.60.2	Autorefraction Measurements IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.78.3	Keratometry Measurements Storage	KeratometryMeasurementsStorage	sect_A.60.3	Keratometry Measurements IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.78.4	Subjective Refraction Measurements Storage	SubjectiveRefractionMeasurementsStorage	sect_A.60.4	Subjective Refraction Measurements IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.78.5	Visual Acuity Measurements Storage	VisualAcuityMeasurementsStorage	sect_A.60.5	Visual Acuity Measurements IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.78.6	Spectacle Prescription Report Storage	SpectaclePrescriptionReportStorage	sect_A.35.9	Spectacle Prescription Report IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.78.7	Ophthalmic Axial Measurements Storage	OphthalmicAxialMeasurementsStorage	sect_A.60.6	Ophthalmic Axial Measurements IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.78.8	Intraocular Lens Calculations Storage	IntraocularLensCalculationsStorage	sect_A.60.7	Intraocular Lens Calculations IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.79.1	Macular Grid Thickness and Volume Report	MacularGridThicknessAndVolumeReportStorage	sect_A.35.11	Macular Grid Thickness and Volume Report IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.80.1	Ophthalmic Visual Field Static Perimetry Measurements Storage	OphthalmicVisualFieldStaticPerimetryMeasurementsStorage	sect_A.65	Ophthalmic Visual Field Static Perimetry Measurements IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.81.1	Ophthalmic Thickness Map Storage	OphthalmicThicknessMapStorage	sect_A.67	Ophthalmic Thickness Map IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.82.1	Corneal Topography Map Storage	CornealTopographyMapStorage	sect_A.73	Corneal Topography Map IOD	sect_B.5	N
